20210225-13:59:48.401 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 25/02/2021 00:23:36 [UTC]
20210225-13:59:48.402 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.402 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38216
20210225-13:59:48.402 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.402 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.402 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.402 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.402 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 25/02/2021 00:24:13 [UTC]
20210225-13:59:48.402 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.402 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38216
20210225-13:59:48.402 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.403 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.403 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.403 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
20210225-13:59:48.403 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 25/02/2021 00:24:32 [UTC]
20210225-13:59:48.403 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.403 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38216
20210225-13:59:48.403 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.403 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.403 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.403 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.404 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 25/02/2021 00:25:26 [UTC]
20210225-13:59:48.404 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.404 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38216
20210225-13:59:48.404 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.404 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.404 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.404 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
